Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to10,Feature log2 fold change topic 5to10
ENSG00000228794,LINC01128,10,-1.4459,23,-0.0848,29,0.81495
ENSG00000188976,NOC2L,18,-1.4152,48,0.20438,49,0.57384
ENSG00000188290,HES4,12,-2.5043,78,0.59124,65,0.53048
ENSG00000187608,ISG15,26,-0.6440,46,0.35341,40,0.12133
ENSG00000188157,AGRN,12,-1.3364,45,1.03852,25,-0.1746
ENSG00000078808,SDF4,50,-0.5225,92,0.57667,65,-0.1182
ENSG00000176022,B3GALT6,8,-1.8521,35,0.63456,27,0.34402
ENSG00000160087,UBE2J2,25,-0.6176,29,-0.3621,41,0.61727
ENSG00000131584,ACAP3,95,0.12793,97,0.16124,84,-0.1962
ENSG00000127054,INTS11,42,-0.3118,68,0.58309,47,-0.2376
ENSG00000224051,CPTP,7,-1.7723,26,0.40436,24,0.52373
ENSG00000107404,DVL1,35,-0.7955,63,0.19767,62,0.31620
ENSG00000175756,AURKAIP1,81,-1.5673,232,0.17904,246,0.64850
ENSG00000221978,CCNL2,69,0.11192,64,-0.0326,64,-0.0545
ENSG00000242485,MRPL20,86,-1.2953,175,-0.1139,224,0.77685
ENSG00000235098,ANKRD65,42,0.68707,30,0.07262,24,-0.5570
ENSG00000179403,VWA1,145,2.19435,68,0.42093,19,-2.4481
ENSG00000197785,ATAD3A,10,-0.5555,4,-1.9068,19,1.34508
ENSG00000205090,TMEM240,6,-2.1055,23,-0.0938,30,1.04108
ENSG00000160075,SSU72,61,-1.4657,159,0.12398,174,0.65738
ENSG00000228594,FNDC10,1,-4.9114,30,0.07154,38,1.27238
ENSG00000272106,AL691432.2,15,-0.3642,29,0.84789,16,-0.4287
ENSG00000197530,MIB2,19,-1.0427,46,0.46430,38,0.21593
ENSG00000248333,CDK11B,117,1.73153,34,-0.7207,35,-1.0822
ENSG00000189339,SLC35E2B,15,0.25811,2,-2.9426,16,0.91164
ENSG00000008128,CDK11A,103,2.49872,22,-0.7691,16,-1.9013
ENSG00000215790,SLC35E2A,11,-1.4111,27,0.02417,32,0.71650
ENSG00000008130,NADK,19,-0.4146,23,-0.0913,27,0.32088
ENSG00000078369,GNB1,153,-1.7964,454,-0.0175,561,0.88527
ENSG00000187730,GABRD,8,-3.9839,94,-0.3553,157,1.61221
ENSG00000067606,PRKCZ,75,-1.5619,155,-0.3893,246,1.09115
ENSG00000162585,FAAP20,40,-0.2565,61,0.49707,44,-0.2010
ENSG00000157933,SKI,30,0.42669,29,0.37737,20,-0.5656
ENSG00000157916,RER1,49,-0.6318,99,0.64602,68,-0.1200
ENSG00000157911,PEX10,26,-0.4245,54,0.93221,29,-0.4694
ENSG00000157870,PRXL2B,7,-2.9870,44,-0.0822,60,1.22755
ENSG00000177133,PRDM16-DT,3,-2.8793,24,0.38850,23,0.78171
ENSG00000158109,TPRG1L,26,-2.9736,129,-0.5051,236,1.59671
ENSG00000130764,LRRC47,25,-1.7989,88,0.26949,89,0.64707
ENSG00000116198,CEP104,113,2.28514,20,-1.1915,24,-1.4648
ENSG00000196581,AJAP1,30,-0.2529,23,-0.7525,41,0.61943
ENSG00000069424,KCNAB2,13,-4.0412,134,-0.5131,251,1.76462
ENSG00000116254,CHD5,16,-3.4425,106,-0.6067,210,1.77011
ENSG00000116251,RPL22,1080,0.71575,984,0.52980,549,-0.9111
ENSG00000116237,ICMT,15,-1.2480,28,-0.1839,38,0.80919
ENSG00000097021,ACOT7,59,-2.2570,227,-0.0952,304,1.08316
ENSG00000215788,TNFRSF25,1,-4.1814,17,-0.0775,24,1.36918
ENSG00000171680,PLEKHG5,1,-4.5795,16,-0.6180,32,1.91278
ENSG00000162408,NOL9,14,-0.7679,18,-0.3871,27,0.71730
ENSG00000162413,KLHL21,20,-0.4508,26,-0.0112,29,0.28676
ENSG00000041988,THAP3,11,-0.7700,16,-0.1316,20,0.54475
ENSG00000007923,DNAJC11,13,-1.2872,26,-0.1354,34,0.78967
ENSG00000171735,CAMTA1,119,-0.8465,129,-0.7115,242,0.96554
ENSG00000049245,VAMP3,99,1.49013,83,1.07003,19,-2.2224
ENSG00000049246,PER3,52,0.40200,56,0.55028,34,-0.6790
ENSG00000116288,PARK7,175,-1.2253,354,-0.0433,428,0.69398
ENSG00000116285,ERRFI1,12,-0.4841,18,0.19625,17,0.15639
ENSG00000162426,SLC45A1,9,-1.9517,28,-0.0834,37,0.98767
ENSG00000142599,RERE,257,1.48775,61,-1.2096,102,-0.6409
ENSG00000074800,ENO1,192,-2.0052,891,0.57529,733,0.43658
ENSG00000171612,SLC25A33,19,-0.5566,22,-0.3190,30,0.55440
ENSG00000171603,CLSTN1,154,-2.0818,520,-0.1173,700,1.05388
ENSG00000178585,CTNNBIP1,31,-0.5622,39,-0.1532,48,0.44758
ENSG00000162441,LZIC,107,1.14218,61,0.04748,44,-0.9381
ENSG00000130939,UBE4B,39,0.03427,30,-0.4120,41,0.23262
ENSG00000054523,KIF1B,463,0.51811,258,-0.5322,344,-0.0659
ENSG00000142657,PGD,32,-0.8707,82,0.82895,51,-0.1653
ENSG00000175279,CENPS,5,-1.6346,9,-0.6783,18,1.32971
ENSG00000241563,CORT,7,-3.5007,136,1.38049,67,-0.0948
ENSG00000160049,DFFA,92,1.00611,53,-0.0634,43,-0.7428
ENSG00000142655,PEX14,4,-2.4460,25,0.42794,24,0.66816
ENSG00000120948,TARDBP,101,0.44625,87,0.15955,70,-0.4253
ENSG00000116649,SRM,28,-1.4596,66,-0.0636,83,0.80378
ENSG00000171824,EXOSC10,57,0.80050,26,-0.5868,34,-0.2723
ENSG00000198793,MTOR,22,-1.0535,48,0.30937,44,0.34622
ENSG00000116661,FBXO2,83,-1.7962,326,0.52091,275,0.42917
ENSG00000132879,FBXO44,30,-1.8552,70,-0.5287,125,1.30634
ENSG00000116670,MAD2L2,14,-0.3786,21,0.34043,18,-0.0102
ENSG00000177000,MTHFR,19,-0.1081,13,-0.7436,23,0.51451
ENSG00000011021,CLCN6,34,-1.1723,68,0.01272,79,0.62875
ENSG00000116685,KIAA2013,37,0.13643,41,0.31411,32,-0.3110
ENSG00000083444,PLOD1,17,-0.2639,34,0.95521,17,-0.5779
ENSG00000116688,MFN2,65,-0.8298,118,0.20785,115,0.32494
ENSG00000116691,MIIP,20,-0.1296,22,0.01156,22,0.07679
ENSG00000048707,VPS13D,46,-0.3081,55,0.00665,58,0.19070
ENSG00000162496,DHRS3,9,-1.2372,40,1.42119,16,-0.5670
ENSG00000116731,PRDM2,202,0.86047,47,-1.6457,132,0.08356
ENSG00000189337,KAZN,79,0.65084,60,0.14054,47,-0.5729
ENSG00000142634,EFHD2,11,-3.7215,201,0.87224,142,0.42010
ENSG00000116138,DNAJC16,13,-1.0233,26,0.12937,27,0.47436
ENSG00000197312,DDI2,27,0.08989,16,-0.7730,28,0.38627
ENSG00000116786,PLEKHM2,57,-0.6297,70,-0.2785,94,0.56948
ENSG00000065526,SPEN,416,2.66786,33,-2.2666,76,-1.5618
ENSG00000116809,ZBTB17,25,0.31857,23,0.16912,19,-0.3367
ENSG00000185519,FAM131C,40,1.44328,18,-0.1713,13,-1.0884
ENSG00000037637,FBXO42,11,-0.7846,18,-0.0077,20,0.46376
ENSG00000055070,SZRD1,46,0.71036,37,0.31146,25,-0.7414
ENSG00000159363,ATP13A2,36,-1.9048,120,0.04925,142,0.86389
ENSG00000117118,SDHB,34,-1.3141,74,-0.0293,89,0.72005
ENSG00000117115,PADI2,292,1.92025,222,1.23645,28,-3.1667
ENSG00000179051,RCC2,14,-0.4801,23,0.35905,19,0.03145
ENSG00000074964,ARHGEF10L,7,-1.4069,24,0.62253,18,0.21964
ENSG00000117154,IGSF21,17,-2.2816,92,0.49937,81,0.56921
ENSG00000159423,ALDH4A1,8,-1.7632,42,1.08791,23,-0.0932
ENSG00000127481,UBR4,52,1.28836,11,-1.4811,24,-0.3612
ENSG00000127463,EMC1,21,-0.3544,24,-0.0808,27,0.27813
ENSG00000053372,MRTO4,15,-1.7553,34,-0.4239,56,1.19090
ENSG00000053371,AKR7A2,24,-0.9556,66,0.87163,40,-0.1668
ENSG00000077549,CAPZB,126,-0.6920,173,-0.1516,214,0.51764
ENSG00000173436,MICOS10,307,-0.4495,472,0.31522,403,0.04827
ENSG00000158747,NBL1,27,-2.7063,147,-0.0159,189,1.11678
ENSG00000162545,CAMK2N1,1062,-0.5604,814,-0.9997,1818,0.95360
ENSG00000090432,MUL1,11,-0.7741,13,-0.5232,22,0.80841
ENSG00000158828,PINK1,155,-1.8093,565,0.34786,540,0.58321
ENSG00000244038,DDOST,15,-1.2297,38,0.33539,35,0.39698
ENSG00000117245,KIF17,2,-3.1106,22,0.26821,24,0.92753
ENSG00000189410,SH2D5,4,-3.1066,30,-0.2370,46,1.38630
ENSG00000127483,HP1BP3,374,1.17603,108,-1.1035,185,-0.3837
ENSG00000075151,EIF4G3,258,0.66429,114,-0.8038,179,-0.0540
ENSG00000117298,ECE1,26,0.40211,37,1.13706,14,-1.1885
ENSG00000076864,RAP1GAP,28,-2.5547,145,0.08391,173,0.99784
ENSG00000090686,USP48,137,1.28881,41,-0.9510,61,-0.5486
ENSG00000070831,CDC42,142,-0.5386,203,0.07786,208,0.27269
ENSG00000173372,C1QA,18,-0.2160,55,2.20865,9,-1.8992
ENSG00000173369,C1QB,27,-0.0564,77,2.25201,12,-2.0743
ENSG00000004487,KDM1A,23,-1.0550,37,-0.2671,52,0.78185
ENSG00000169641,LUZP1,43,-0.8657,29,-1.4638,94,1.38150
ENSG00000125944,HNRNPR,168,0.61101,76,-0.7980,121,-0.0122
ENSG00000142676,RPL11,915,0.50890,1110,0.90275,487,-1.0560
ENSG00000011007,ELOA,36,0.75578,17,-0.5964,23,-0.2295
ENSG00000057757,PITHD1,75,-1.3493,143,-0.2873,207,0.92873
ENSG00000011009,LYPLA2,7,-1.8660,18,-0.5088,32,1.29519
ENSG00000117305,HMGCL,16,-0.1303,18,0.08436,18,0.02733
ENSG00000189266,PNRC2,43,-0.3917,60,0.20543,55,0.09801
ENSG00000188529,SRSF10,74,0.29606,59,-0.1026,60,-0.1413
ENSG00000001461,NIPAL3,347,1.67613,156,-0.0024,92,-1.4391
ENSG00000133226,SRRM1,794,2.62227,111,-1.4277,134,-1.7475
ENSG00000169504,CLIC4,143,2.07684,113,1.45202,7,-4.0983
ENSG00000117614,SYF2,165,0.67568,97,-0.3158,106,-0.3107
ENSG00000117616,RSRP1,95,0.57625,91,0.48711,55,-0.7641
ENSG00000183726,TMEM50A,71,0.18644,58,-0.1610,63,-0.0252
ENSG00000204178,MACO1,70,1.06605,20,-1.1792,38,-0.2546
ENSG00000117643,MAN1C1,14,-1.0682,18,-0.6600,34,1.05340
ENSG00000162430,SELENON,15,-1.1055,50,0.97933,28,-0.2032
ENSG00000117640,MTFR1L,26,-1.4461,68,0.14490,73,0.63333
ENSG00000117632,STMN1,872,-0.8205,1192,-0.2917,1656,0.68169
ENSG00000158008,EXTL1,4,-3.5691,26,-0.7393,56,1.90765
ENSG00000142684,ZNF593,6,-2.6298,36,0.16584,40,0.94021
ENSG00000142669,SH3BGRL3,131,-1.0703,249,0.01752,285,0.58058
ENSG00000158062,UBXN11,3,-2.8309,13,-0.8302,30,1.83747
ENSG00000117682,DHDDS,5,-1.9895,19,-0.0332,24,0.95749
ENSG00000198830,HMGN2,232,0.42685,281,0.80993,136,-0.9110
ENSG00000117713,ARID1A,87,0.57425,62,-0.0490,57,-0.3877
ENSG00000204160,ZDHHC18,10,-1.1625,28,0.66830,20,0.09199
ENSG00000142751,GPN2,17,-0.2080,25,0.48010,18,-0.2163
ENSG00000090273,NUDC,165,-0.7696,296,0.24574,278,0.26686
ENSG00000253368,TRNP1,9,-2.6243,36,-0.4808,65,1.49867
ENSG00000090020,SLC9A1,3,-2.1404,8,-0.8718,18,1.66363
ENSG00000142784,WDTC1,16,-0.9377,32,0.29121,30,0.31004
ENSG00000186501,TMEM222,34,-0.8543,87,0.81281,54,-0.1584
ENSG00000158195,WASF2,187,2.28959,70,0.05317,27,-2.2162
ENSG00000126705,AHDC1,16,-1.4745,39,-0.0216,48,0.77656
ENSG00000126709,IFI6,64,-0.8747,165,0.84300,101,-0.1759
ENSG00000009780,FAM76A,20,-0.0733,15,-0.5193,23,0.36872
ENSG00000117758,STX12,72,-0.7469,116,0.07992,123,0.38056
ENSG00000117751,PPP1R8,33,0.10458,39,0.43973,27,-0.3830
ENSG00000117748,RPA2,26,-1.4259,60,-0.0828,76,0.80568
ENSG00000126698,DNAJC8,266,0.43760,100,-1.2459,228,0.31890
ENSG00000130770,ATP5IF1,201,-1.8714,463,-0.5352,828,1.31707
ENSG00000204138,PHACTR4,113,2.69148,28,-0.4222,13,-2.3676
ENSG00000180098,TRNAU1AP,27,0.29604,24,0.05113,21,-0.2404
ENSG00000198492,YTHDF2,42,-0.8264,37,-1.0179,87,1.13028
ENSG00000116350,SRSF4,128,1.05340,57,-0.4699,63,-0.5532
ENSG00000116353,MECR,11,-2.0342,38,-0.1024,50,1.02776
ENSG00000162511,LAPTM5,29,0.29513,56,1.66845,13,-1.6561
ENSG00000162512,SDC3,35,-1.3437,149,1.30387,69,-0.4193
ENSG00000134644,PUM1,95,-0.4153,100,-0.3354,136,0.48113
ENSG00000121766,ZCCHC17,164,-0.1401,136,-0.4651,196,0.38329
ENSG00000121769,FABP3,18,-2.8397,68,-0.8188,154,1.83026
ENSG00000162517,PEF1,26,-1.6574,70,-0.0355,87,0.85352
ENSG00000084636,COL16A1,64,0.17363,92,0.86890,45,-0.7780
ENSG00000121753,ADGRB2,41,-2.5787,138,-0.6772,281,1.64841
ENSG00000184007,PTP4A2,1408,2.58124,424,-0.1832,172,-2.4094
ENSG00000121774,KHDRBS1,132,0.12899,137,0.18844,116,-0.2160
ENSG00000025800,KPNA6,94,0.13783,50,-0.9393,97,0.42985
ENSG00000084652,TXLNA,36,0.42243,35,0.36675,24,-0.5546
ENSG00000160050,CCDC28B,9,-1.3176,25,0.35434,23,0.41494
ENSG00000084623,EIF3I,49,-0.9841,93,0.11209,98,0.46999
ENSG00000175130,MARCKSL1,675,1.78607,389,0.54291,131,-2.0197
ENSG00000160058,BSDC1,51,-0.2745,57,-0.0726,63,0.22423
ENSG00000176261,ZBTB8OS,36,-0.3249,39,-0.1803,47,0.32637
ENSG00000162521,RBBP4,82,0.00782,67,-0.3593,87,0.22032
ENSG00000162522,KIAA1522,3,-2.5244,9,-0.8476,21,1.76884
ENSG00000134684,YARS,28,-2.0310,100,0.06202,119,0.88966
ENSG00000160097,FNDC5,6,-1.8767,11,-0.9672,27,1.63113
ENSG00000121905,HPCA,17,-3.5320,74,-1.3663,251,2.43796
ENSG00000121900,TMEM54,37,-0.2709,55,0.40723,42,-0.1229
ENSG00000004455,AK2,64,0.88388,66,0.94934,24,-1.4230
ENSG00000142920,AZIN2,19,-0.6840,43,0.78438,27,-0.2114
ENSG00000160094,ZNF362,10,-0.8516,17,0.11553,18,0.40552
ENSG00000134686,PHC2,69,0.30747,65,0.21926,52,-0.3635
ENSG00000163866,SMIM12,15,-1.9997,44,-0.2365,65,1.12681
ENSG00000116544,DLGAP3,1,-5.0850,34,-0.2015,51,1.54582
ENSG00000163867,ZMYM6,13,-0.5938,19,-0.0161,21,0.36989
ENSG00000116560,SFPQ,473,1.38505,215,-0.1906,169,-1.0193
ENSG00000146463,ZMYM4,51,0.21320,37,-0.3442,46,0.06507
ENSG00000142687,KIAA0319L,56,-0.4286,65,-0.1851,80,0.39191
ENSG00000020129,NCDN,53,-3.4639,368,-0.4594,658,1.64209
ENSG00000126067,PSMB2,51,-1.0424,117,0.38737,102,0.27864
ENSG00000142686,C1orf216,11,-3.1644,80,-0.1547,115,1.32203
ENSG00000134698,AGO4,12,-0.6278,36,1.51110,12,-0.9056
ENSG00000092847,AGO1,43,0.13854,55,0.59536,34,-0.5270
ENSG00000126070,AGO3,113,1.87560,24,-1.1054,32,-1.0657
ENSG00000116863,ADPRHL2,20,-0.1818,25,0.18499,23,-0.0114
ENSG00000054116,TRAPPC3,19,-1.3939,36,-0.3941,57,1.02548
ENSG00000116871,MAP7D1,234,0.18834,214,0.02108,203,-0.1432
ENSG00000054118,THRAP3,238,1.13804,77,-0.9293,118,-0.4172
ENSG00000196182,STK40,9,-1.0957,29,0.93265,17,-0.1651
ENSG00000181817,LSM10,16,-1.4628,33,-0.2844,49,0.97352
ENSG00000116885,OSCP1,2,-3.2123,18,-0.0875,24,1.26861
ENSG00000116898,MRPS15,30,-1.2685,57,-0.2099,79,0.83724
ENSG00000163873,GRIK3,1,-4.1781,32,0.91494,22,0.41081
ENSG00000163875,MEAF6,36,-1.6279,98,0.00872,118,0.80777
ENSG00000134697,GNL2,42,1.16706,14,-0.8466,20,-0.4787
ENSG00000185090,MANEAL,4,-2.5768,13,-0.9727,34,1.88152
ENSG00000197982,C1orf122,242,-0.0532,326,0.50019,226,-0.3268
ENSG00000188786,MTF1,36,1.48315,18,0.02812,11,-1.2577
ENSG00000183431,SF3A3,33,-0.3503,34,-0.2803,45,0.40645
ENSG00000183520,UTP11,35,0.27340,9,-1.8466,35,0.65781
ENSG00000116954,RRAGC,42,-0.1322,55,0.35796,43,-0.1688
ENSG00000174574,AKIRIN1,76,-0.1403,54,-0.7250,93,0.52732
ENSG00000168653,NDUFS5,376,-1.4549,783,-0.2467,1114,0.94208
ENSG00000127603,MACF1,591,1.52107,186,-0.7217,212,-0.8709
ENSG00000090621,PABPC4,109,0.85142,58,-0.3365,61,-0.4470
ENSG00000116983,HPCAL4,30,-3.5848,259,-0.2563,403,1.47448
ENSG00000084072,PPIE,32,-0.3100,47,0.37991,37,-0.0794
ENSG00000131236,CAP1,135,-0.2920,158,-0.0163,168,0.19677
ENSG00000131238,PPT1,57,-1.1571,130,0.25600,127,0.43212
ENSG00000117000,RLF,34,1.12540,7,-1.5222,18,-0.1959
ENSG00000084073,ZMPSTE24,24,-0.2795,29,0.03889,29,0.15115
ENSG00000049089,COL9A2,80,1.28240,101,1.84564,10,-3.1037
ENSG00000084070,SMAP2,48,-1.3129,67,-0.7632,137,1.24264
ENSG00000117016,RIMS3,10,-3.6105,45,-1.3240,149,2.41896
ENSG00000066136,NFYC,14,-1.0193,34,0.45174,28,0.21642
ENSG00000179862,CITED4,4,-2.0284,16,0.35632,16,0.63612
ENSG00000127124,HIVEP3,11,-0.7541,8,-1.1907,22,1.17623
ENSG00000198815,FOXJ3,14,-1.5375,27,-0.5245,48,1.17996
ENSG00000177181,RIMKLA,10,-1.6936,8,-1.9719,40,2.13660
ENSG00000127125,PPCS,46,-0.4128,54,-0.1359,64,0.34991
ENSG00000186409,CCDC30,41,0.57831,13,-1.3280,32,0.23027
ENSG00000171960,PPIH,6,-1.4955,23,0.62919,17,0.24328
ENSG00000065978,YBX1,248,1.24923,149,0.20499,89,-1.1487
ENSG00000164008,C1orf50,20,-0.4523,33,0.47439,25,-0.0734
ENSG00000177868,SVBP,43,-0.2237,58,0.31081,48,-0.0779
ENSG00000117394,SLC2A1,37,0.02519,63,1.07702,27,-0.8634
ENSG00000117395,EBNA1BP2,48,-1.0973,76,-0.3347,112,0.84953
ENSG00000179178,TMEM125,122,3.06228,41,0.26743,5,-3.8793
ENSG00000066322,ELOVL1,165,2.59506,68,0.39037,13,-3.0704
ENSG00000159479,MED8,12,-1.0115,24,0.09765,26,0.49339
ENSG00000198198,SZT2,37,1.37756,23,0.39364,11,-1.4213
ENSG00000178922,HYI,23,0.10579,43,1.37797,14,-1.2051
ENSG00000142949,PTPRF,92,-0.1791,68,-0.6840,116,0.53229
ENSG00000066135,KDM4A,15,-0.0134,4,-2.0940,19,0.97071
ENSG00000126091,ST3GAL3,4,-3.2056,40,0.42031,39,0.79864
ENSG00000117408,IPO13,107,0.65428,112,0.74325,53,-1.0351
ENSG00000117410,ATP6V0B,168,-1.3049,312,-0.2851,452,0.90816
ENSG00000117411,B4GALT2,41,-0.8399,73,0.16716,73,0.36082
ENSG00000159214,CCDC24,4,-1.9715,9,-0.9249,21,1.63934
ENSG00000178028,DMAP1,37,-0.7944,55,-0.1596,69,0.57703
ENSG00000117419,ERI3,67,-1.3913,186,0.34664,172,0.44832
ENSG00000187147,RNF220,178,0.53773,146,0.15933,115,-0.4957
ENSG00000142937,RPS8,2250,0.84023,1696,0.28151,1110,-0.8293
ENSG00000070785,EIF2B3,30,-0.0901,30,-0.1080,33,0.13069
ENSG00000126088,UROD,35,-1.4397,109,0.51262,90,0.32543
