Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6to10,Feature log2 fold change topic 6to10
ENSG00000228794,LINC01128,9,-1.1811,13,-0.7050,32,0.96166,18,-0.3799
ENSG00000188976,NOC2L,38,0.10430,25,-0.5615,62,1.31982,22,-1.1786
ENSG00000188290,HES4,16,-1.7165,76,0.63781,43,-0.3489,58,0.39556
ENSG00000187608,ISG15,24,-0.9108,81,1.04282,35,-0.4000,44,0.07370
ENSG00000188157,AGRN,44,1.38622,25,0.45447,28,0.81377,8,-1.8843
ENSG00000078808,SDF4,55,0.44427,55,0.44830,55,0.59233,29,-0.9280
ENSG00000176022,B3GALT6,12,-0.6885,17,-0.1280,36,1.63459,10,-1.4183
ENSG00000160087,UBE2J2,32,0.06760,30,0.00624,48,1.07535,19,-1.0823
ENSG00000131584,ACAP3,102,0.99231,48,-0.2469,114,1.83998,14,-2.7689
ENSG00000127054,INTS11,59,0.84056,21,-0.8046,56,1.06899,21,-1.2169
ENSG00000224051,CPTP,12,-0.0605,9,-0.4628,23,1.53722,7,-1.4001
ENSG00000107404,DVL1,36,-0.0996,71,1.03381,47,0.44440,27,-0.8781
ENSG00000175756,AURKAIP1,132,-0.9956,235,-0.0974,245,-0.0362,279,0.33843
ENSG00000221978,CCNL2,80,0.72972,46,-0.1540,61,0.38618,40,-0.6175
ENSG00000242485,MRPL20,151,-0.6910,247,0.08245,159,-0.7448,294,0.74735
ENSG00000235098,ANKRD65,48,1.70497,27,0.69334,20,0.21115,9,-1.5836
ENSG00000179403,VWA1,186,3.95231,25,-0.2368,16,-1.0457,6,-3.0225
ENSG00000205090,TMEM240,8,-1.4783,10,-1.1777,31,0.83233,21,-0.1038
ENSG00000160075,SSU72,62,-1.4314,155,-0.0200,178,0.25765,165,0.13218
ENSG00000228594,FNDC10,4,-2.4950,27,0.47436,37,1.44453,12,-1.1642
ENSG00000272106,AL691432.2,19,0.25295,14,-0.2807,15,-0.1182,17,0.09357
ENSG00000197530,MIB2,13,-1.0871,27,0.05399,47,1.38853,17,-1.0999
ENSG00000248333,CDK11B,55,0.33757,25,-0.9071,40,-0.2161,49,0.29793
ENSG00000008128,CDK11A,42,1.09727,24,0.14109,24,0.26137,15,-0.8337
ENSG00000215790,SLC35E2A,11,-0.5365,20,0.36130,22,0.75038,12,-0.6756
ENSG00000008130,NADK,24,0.45497,18,-0.0075,29,1.06803,11,-1.2567
ENSG00000078369,GNB1,221,-0.9328,509,0.38025,534,0.62608,338,-0.4624
ENSG00000187730,GABRD,3,-4.5198,43,-0.7675,121,1.34001,58,-0.5039
ENSG00000067606,PRKCZ,107,-0.9053,168,-0.2051,288,0.94915,154,-0.5651
ENSG00000162585,FAAP20,41,-0.1314,68,0.68841,47,0.10350,40,-0.3434
ENSG00000157933,SKI,29,1.27268,22,0.78477,19,0.79429,5,-1.9879
ENSG00000157916,RER1,83,0.59174,43,-0.4483,55,-0.1114,58,-0.0159
ENSG00000157911,PEX10,31,0.38077,36,0.62017,37,0.95818,13,-1.4101
ENSG00000197921,HES5,0,-7.5986,106,2.30200,35,0.31820,17,-1.2416
ENSG00000157870,PRXL2B,16,-1.5382,53,0.31869,56,0.57658,39,-0.2806
ENSG00000177133,PRDM16-DT,3,-2.7501,71,2.26908,30,0.87809,8,-2.0514
ENSG00000158109,TPRG1L,25,-2.7628,116,-0.4695,238,0.95779,143,-0.2584
ENSG00000130764,LRRC47,57,0.13648,26,-1.0788,84,1.09296,38,-0.8075
ENSG00000116198,CEP104,63,1.74316,20,-0.1774,27,0.36169,13,-1.3319
ENSG00000196581,AJAP1,27,0.02501,12,-1.2397,41,1.00124,21,-0.6347
ENSG00000069424,KCNAB2,10,-3.7819,168,0.38589,218,1.18147,99,-0.7536
ENSG00000116254,CHD5,14,-3.5749,171,0.17655,267,1.35190,109,-0.8503
ENSG00000116251,RPL22,901,0.42497,793,0.21402,390,-1.0780,815,0.50887
ENSG00000116237,ICMT,31,0.25920,24,-0.1201,36,0.68532,20,-0.6947
ENSG00000097021,ACOT7,53,-2.0557,60,-1.8522,237,0.32280,243,0.55581
ENSG00000171680,PLEKHG5,0,-8.3798,14,-0.0144,22,1.10929,11,-0.4647
ENSG00000162408,NOL9,21,-0.0997,23,0.03496,34,0.89638,16,-0.8294
ENSG00000162413,KLHL21,42,1.53318,31,0.97742,19,0.23221,8,-1.6446
ENSG00000041988,THAP3,19,0.01764,20,0.04239,21,0.20382,18,-0.1980
ENSG00000007923,DNAJC11,16,-0.2600,26,0.49839,29,0.91022,13,-1.0001
ENSG00000171735,CAMTA1,145,-0.7401,209,-0.1677,334,0.81816,194,-0.4821
ENSG00000049245,VAMP3,158,3.06352,56,0.89378,21,-0.8011,9,-2.5035
ENSG00000049246,PER3,69,1.29058,59,1.00542,38,0.37866,15,-1.6152
ENSG00000116288,PARK7,262,-0.9680,494,0.02279,318,-0.8128,632,0.88487
ENSG00000116285,ERRFI1,28,1.07717,9,-0.8090,19,0.55628,11,-0.8058
ENSG00000162426,SLC45A1,12,-0.7307,6,-1.6087,37,1.61514,13,-0.9927
ENSG00000142599,RERE,150,1.16900,86,0.22770,92,0.44137,47,-1.1067
ENSG00000074800,ENO1,364,-0.9104,903,0.52877,710,0.17534,627,-0.1160
ENSG00000171612,SLC25A33,18,-0.9479,52,0.71987,21,-0.8472,40,0.57570
