Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to11,Feature log2 fold change topic 6to11
ENSG00000228794,LINC01128,6,-1.8607,22,0.15956,34,0.85206,21,0.03603,22,0.29772
ENSG00000188976,NOC2L,27,-0.7562,31,-0.4904,74,0.89282,18,-1.2821,49,0.45052
ENSG00000188290,HES4,19,-1.6854,45,-0.3397,47,-0.2624,95,0.87334,64,0.50702
ENSG00000187608,ISG15,34,-0.4961,38,-0.2818,27,-0.7687,68,0.65186,50,0.30190
ENSG00000188157,AGRN,39,0.94769,18,-0.3610,37,0.72403,16,-0.5997,18,-0.7045
ENSG00000078808,SDF4,55,-0.1972,36,-0.8091,59,-0.0663,86,0.54725,64,0.13756
ENSG00000176022,B3GALT6,12,-0.8968,11,-0.9602,37,0.91602,11,-0.9483,25,0.54510
ENSG00000160087,UBE2J2,19,-1.0089,26,-0.4825,38,0.10786,33,-0.1176,42,0.64335
ENSG00000131584,ACAP3,131,0.76718,72,-0.2953,143,0.82099,69,-0.3466,68,-0.6862
ENSG00000127054,INTS11,49,0.19676,34,-0.3893,32,-0.5104,25,-0.8739,49,0.37463
ENSG00000224051,CPTP,9,-1.1893,15,-0.4121,14,-0.4640,18,-0.1289,25,0.89078
ENSG00000107404,DVL1,42,-0.5619,86,0.60242,49,-0.2907,53,-0.1810,63,0.20689
ENSG00000175756,AURKAIP1,94,-1.6985,190,-0.5416,156,-0.8461,280,0.06683,357,1.12926
ENSG00000221978,CCNL2,69,0.48700,23,-1.2311,41,-0.3764,43,-0.3142,56,0.17717
ENSG00000242485,MRPL20,101,-1.1818,133,-0.6801,116,-0.8919,180,-0.2108,273,1.10939
ENSG00000235098,ANKRD65,44,0.52773,14,-1.2506,13,-1.3619,32,-0.0296,35,0.26419
ENSG00000179403,VWA1,115,2.73978,7,-2.3800,6,-2.5013,36,0.06807,17,-1.6875
ENSG00000197785,ATAD3A,14,-0.6179,19,-0.0940,19,-0.0982,8,-1.3069,24,0.71688
ENSG00000205090,TMEM240,7,-1.9787,26,0.06485,40,0.74504,6,-2.1650,32,0.86829
ENSG00000160075,SSU72,93,-0.9340,154,-0.0835,112,-0.5777,147,-0.1488,197,0.71997
ENSG00000228594,FNDC10,10,-1.7395,35,0.27822,44,0.63876,30,0.01361,33,0.34020
