Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to10,Feature log2 fold change topic 5to10
ENSG00000228794,LINC01128,89,2.06892,10,-1.5891,20,-0.5466,23,-0.5833
ENSG00000188976,NOC2L,89,1.48477,17,-1.2122,17,-1.3359,39,0.16387
ENSG00000188290,HES4,89,0.70870,11,-2.4228,85,0.72956,51,-0.3944
ENSG00000187608,ISG15,89,1.03914,21,-1.2690,74,0.84637,37,-0.8166
ENSG00000188157,AGRN,89,2.34974,18,-0.4778,21,-0.2500,16,-1.2252
ENSG00000078808,SDF4,89,0.60665,62,0.00818,82,0.53206,50,-0.6469
ENSG00000176022,B3GALT6,89,2.24704,8,-1.7458,25,-0.0383,18,-1.0102
ENSG00000160087,UBE2J2,89,1.53385,19,-1.0179,38,0.06185,30,-0.5986
ENSG00000131584,ACAP3,89,1.47053,34,-0.1479,36,-0.0934,30,-0.6796
ENSG00000127054,INTS11,89,1.31750,37,-0.1639,48,0.27224,31,-0.8104
ENSG00000107404,DVL1,89,1.65322,28,-0.3092,38,0.16962,25,-0.9372
ENSG00000175756,AURKAIP1,89,-1.3098,108,-1.0246,293,0.63787,218,0.15358
ENSG00000221978,CCNL2,89,1.09679,40,-0.2178,31,-0.6898,45,-0.0801
ENSG00000242485,MRPL20,89,-1.2086,140,-0.5260,216,0.18236,215,0.38164
ENSG00000235098,ANKRD65,89,1.86106,44,0.57884,37,0.32353,17,-1.5949
ENSG00000179403,VWA1,89,1.15826,201,2.85061,43,-0.0699,12,-2.9343
ENSG00000205090,TMEM240,89,2.50110,3,-3.0824,8,-1.5898,20,-0.4449
ENSG00000160075,SSU72,89,-0.5826,72,-0.9197,140,0.13589,143,0.37170
ENSG00000228594,FNDC10,89,2.52236,2,-3.3786,21,-0.1349,15,-1.0841
ENSG00000272106,AL691432.2,89,2.92468,13,-0.5347,8,-1.3598,12,-1.2765
