Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,5,-2.3916,15,-0.7169,23,-0.0848,38,0.73148,34,0.76765,18,-0.5299
ENSG00000188976,NOC2L,30,-0.5325,6,-2.9298,48,0.20438,61,0.58137,57,0.65237,31,-0.5526
ENSG00000188290,HES4,3,-4.1756,20,-1.5692,78,0.59124,25,-1.2708,71,0.50389,74,0.50731
ENSG00000187608,ISG15,15,-1.4258,38,-0.0289,46,0.35341,16,-1.3097,48,0.47278,39,0.03718
ENSG00000188157,AGRN,14,-0.9528,9,-1.5815,45,1.03852,21,-0.3165,28,0.15447,22,-0.3313
ENSG00000078808,SDF4,77,0.20772,23,-1.6361,92,0.57667,71,0.07530,71,0.11430,53,-0.4087
ENSG00000176022,B3GALT6,8,-1.6936,8,-1.7699,35,0.63456,28,0.17143,29,0.34683,24,-0.0764
ENSG00000160087,UBE2J2,34,-0.0464,15,-1.3072,29,-0.3621,52,0.61344,41,0.32607,36,0.02044
ENSG00000131584,ACAP3,79,-0.1825,111,0.36771,97,0.16124,116,0.43327,81,-0.1908,72,-0.3549
ENSG00000127054,INTS11,62,0.35154,21,-1.2898,68,0.58309,44,-0.1970,50,-0.0152,43,-0.2495
ENSG00000224051,CPTP,9,-1.2785,5,-2.1517,26,0.40436,16,-0.4136,26,0.50349,24,0.24256
ENSG00000107404,DVL1,37,-0.6526,34,-0.8026,63,0.19767,56,-0.0162,58,0.03118,70,0.39745
ENSG00000175756,AURKAIP1,82,-1.4456,81,-1.4685,232,0.17904,144,-0.5915,263,0.48834,271,0.47188
ENSG00000221978,CCNL2,63,-0.0495,75,0.23650,64,-0.0326,69,0.10959,70,0.16672,51,-0.4027
ENSG00000242485,MRPL20,95,-1.0493,77,-1.3600,175,-0.1139,97,-1.0191,271,0.84798,217,0.27656
ENSG00000235098,ANKRD65,65,1.37444,18,-0.7163,30,0.07262,15,-0.9959,21,-0.6046,34,0.27457
ENSG00000179403,VWA1,242,2.85344,48,-0.1990,68,0.42093,14,-2.0397,18,-1.9123,23,-1.3901
ENSG00000197785,ATAD3A,12,-0.2545,8,-0.7953,4,-1.9068,21,0.62232,21,0.82451,15,0.12808
ENSG00000205090,TMEM240,11,-1.2447,2,-3.4425,23,-0.0938,40,0.82161,27,0.27412,30,0.41358
ENSG00000160075,SSU72,67,-1.2303,56,-1.5005,159,0.12398,144,-0.0537,163,0.19689,206,0.61432
ENSG00000228594,FNDC10,2,-3.8528,0,-7.5150,30,0.07154,49,0.86295,43,0.88412,25,-0.2475
ENSG00000272106,AL691432.2,22,0.31334,7,-1.3663,29,0.84789,17,-0.1021,14,-0.4890,18,-0.0062
ENSG00000197530,MIB2,24,-0.5858,14,-1.4419,46,0.46430,41,0.21911,43,0.38788,29,-0.3761
ENSG00000248333,CDK11B,76,0.65318,157,1.98081,34,-0.7207,75,0.61708,19,-1.7598,40,-0.4276
ENSG00000189339,SLC35E2B,15,0.21394,15,0.24004,2,-2.9426,19,0.61332,14,0.11301,18,0.61126
ENSG00000008128,CDK11A,74,1.26651,132,2.43077,22,-0.7691,34,-0.0276,10,-2.0995,17,-1.2136
ENSG00000215790,SLC35E2A,15,-0.9065,8,-1.8465,27,0.02417,15,-0.8884,34,0.51029,37,0.60659
ENSG00000008130,NADK,20,-0.2841,18,-0.4690,23,-0.0913,23,-0.0991,28,0.24306,27,0.18663
ENSG00000078369,GNB1,164,-1.5812,143,-1.7801,454,-0.0175,449,-0.0335,543,0.36257,645,0.64889
ENSG00000187730,GABRD,5,-4.4121,11,-3.4075,94,-0.3553,198,0.90711,149,0.57900,148,0.47759
ENSG00000067606,PRKCZ,89,-1.1992,61,-1.7532,155,-0.3893,356,1.01654,245,0.51258,192,-0.0116
ENSG00000162585,FAAP20,33,-0.5574,48,0.04517,61,0.49707,38,-0.3209,38,-0.4046,56,0.33602
ENSG00000157933,SKI,31,0.43346,29,0.30966,29,0.37737,36,0.68453,15,-0.8194,18,-0.4310
ENSG00000157916,RER1,55,-0.3965,43,-0.7720,99,0.64602,51,-0.5036,81,0.29204,57,-0.3598
ENSG00000157911,PEX10,25,-0.4483,27,-0.3202,54,0.93221,32,-0.0744,30,-0.2421,26,-0.4075
ENSG00000157870,PRXL2B,6,-2.9826,7,-2.7093,44,-0.0822,59,0.40486,52,0.25146,72,0.86133
ENSG00000177133,PRDM16-DT,2,-2.9761,3,-2.5252,24,0.38850,17,-0.1770,11,-1.0163,44,1.74691
ENSG00000158109,TPRG1L,21,-3.1297,31,-2.5747,129,-0.5051,233,0.48975,275,1.08895,179,0.06698
ENSG00000130764,LRRC47,29,-1.4568,21,-1.9406,88,0.26949,87,0.21602,99,0.56848,75,-0.0134
ENSG00000116198,CEP104,102,1.55688,125,1.96728,20,-1.1915,37,-0.1384,20,-1.3191,23,-0.9608
ENSG00000196581,AJAP1,22,-0.7037,39,0.14698,23,-0.7525,62,0.95019,33,-0.1058,41,0.30372
ENSG00000069424,KCNAB2,12,-3.9810,14,-3.7896,134,-0.5131,199,0.16406,239,0.62560,295,0.96022
ENSG00000116254,CHD5,4,-5.3271,29,-2.4656,106,-0.6067,430,1.84127,153,0.03182,186,0.39250
