Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to10,Feature log2 fold change topic 3to10
ENSG00000228794,LINC01128,9,-1.1811,13,-0.7050,23,1.00866
ENSG00000188976,NOC2L,38,0.10430,25,-0.5615,37,0.21999
ENSG00000188290,HES4,16,-1.7165,76,0.63781,53,0.18660
ENSG00000187608,ISG15,24,-0.9108,81,1.04282,41,-0.3534
ENSG00000188157,AGRN,44,1.38622,25,0.45447,15,-1.1523
ENSG00000078808,SDF4,55,0.44427,55,0.44830,39,-0.5131
ENSG00000176022,B3GALT6,12,-0.6885,17,-0.1280,20,0.42709
ENSG00000160087,UBE2J2,32,0.06760,30,0.00624,30,-0.0419
ENSG00000131584,ACAP3,102,0.99231,48,-0.2469,51,-0.5403
ENSG00000127054,INTS11,59,0.84056,21,-0.8046,34,-0.2220
ENSG00000224051,CPTP,12,-0.0605,9,-0.4628,13,0.27853
ENSG00000107404,DVL1,36,-0.0996,71,1.03381,34,-0.6322
ENSG00000175756,AURKAIP1,132,-0.9956,235,-0.0974,266,0.53829
ENSG00000221978,CCNL2,80,0.72972,46,-0.1540,48,-0.3870
ENSG00000242485,MRPL20,151,-0.6910,247,0.08245,243,0.29110
ENSG00000235098,ANKRD65,48,1.70497,27,0.69334,13,-1.5238
ENSG00000179403,VWA1,186,3.95231,25,-0.2368,10,-3.3519
ENSG00000205090,TMEM240,8,-1.4783,10,-1.1777,25,1.42518
ENSG00000160075,SSU72,62,-1.4314,155,-0.0200,169,0.63910
ENSG00000228594,FNDC10,4,-2.4950,27,0.47436,22,0.46823
ENSG00000272106,AL691432.2,19,0.25295,14,-0.2807,16,-0.0064
ENSG00000197530,MIB2,13,-1.0871,27,0.05399,28,0.46752
ENSG00000248333,CDK11B,55,0.33757,25,-0.9071,46,0.19691
ENSG00000008128,CDK11A,42,1.09727,24,0.14109,19,-0.7859
ENSG00000215790,SLC35E2A,11,-0.5365,20,0.36130,16,0.03584
ENSG00000008130,NADK,24,0.45497,18,-0.0075,18,-0.2706
ENSG00000078369,GNB1,221,-0.9328,509,0.38025,412,0.17447
ENSG00000187730,GABRD,3,-4.5198,43,-0.7675,81,1.82082
ENSG00000067606,PRKCZ,107,-0.9053,168,-0.2051,204,0.57261
ENSG00000162585,FAAP20,41,-0.1314,68,0.68841,42,-0.3681
ENSG00000157933,SKI,29,1.27268,22,0.78477,10,-1.2464
ENSG00000157916,RER1,83,0.59174,43,-0.4483,56,-0.1633
ENSG00000157911,PEX10,31,0.38077,36,0.62017,22,-0.5815
ENSG00000197921,HES5,0,-7.5986,106,2.30200,24,-1.1356
ENSG00000157870,PRXL2B,16,-1.5382,53,0.31869,45,0.40786
ENSG00000177133,PRDM16-DT,3,-2.7501,71,2.26908,16,-1.2012
ENSG00000158109,TPRG1L,25,-2.7628,116,-0.4695,179,1.33100
