Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to10,Feature log2 fold change topic 6to10
ENSG00000228794,LINC01128,10,-1.4459,23,-0.0848,38,0.73148,28,0.40332
ENSG00000188976,NOC2L,18,-1.4152,48,0.20438,61,0.58137,47,0.27849
ENSG00000188290,HES4,12,-2.5043,78,0.59124,25,-1.2708,73,0.83124
ENSG00000187608,ISG15,26,-0.6440,46,0.35341,16,-1.3097,44,0.44853
ENSG00000188157,AGRN,12,-1.3364,45,1.03852,21,-0.3165,26,-0.0651
ENSG00000078808,SDF4,50,-0.5225,92,0.57667,71,0.07530,64,-0.1422
ENSG00000176022,B3GALT6,8,-1.8521,35,0.63456,28,0.17143,27,0.25705
ENSG00000160087,UBE2J2,25,-0.6176,29,-0.3621,52,0.61344,39,0.29980
ENSG00000131584,ACAP3,95,0.12793,97,0.16124,116,0.43327,77,-0.3684
ENSG00000127054,INTS11,42,-0.3118,68,0.58309,44,-0.1970,47,-0.1644
ENSG00000224051,CPTP,7,-1.7723,26,0.40436,16,-0.4136,25,0.62233
ENSG00000107404,DVL1,35,-0.7955,63,0.19767,56,-0.0162,63,0.30280
ENSG00000175756,AURKAIP1,81,-1.5673,232,0.17904,144,-0.5915,266,0.78601
ENSG00000221978,CCNL2,69,0.11192,64,-0.0326,69,0.10959,63,-0.0932
ENSG00000242485,MRPL20,86,-1.2953,175,-0.1139,97,-1.0191,249,1.00814
ENSG00000235098,ANKRD65,42,0.68707,30,0.07262,15,-0.9959,26,-0.2774
ENSG00000179403,VWA1,145,2.19435,68,0.42093,14,-2.0397,20,-2.0985
ENSG00000197785,ATAD3A,10,-0.5555,4,-1.9068,21,0.62232,19,0.86823
ENSG00000205090,TMEM240,6,-2.1055,23,-0.0938,40,0.82161,29,0.53200
ENSG00000160075,SSU72,61,-1.4657,159,0.12398,144,-0.0537,180,0.62232
ENSG00000228594,FNDC10,1,-4.9114,30,0.07154,49,0.86295,36,0.67936
ENSG00000272106,AL691432.2,15,-0.3642,29,0.84789,17,-0.1021,16,-0.3876
ENSG00000197530,MIB2,19,-1.0427,46,0.46430,41,0.21911,37,0.12012
ENSG00000248333,CDK11B,117,1.73153,34,-0.7207,75,0.61708,27,-1.4417
ENSG00000189339,SLC35E2B,15,0.25811,2,-2.9426,19,0.61332,16,0.54336
ENSG00000008128,CDK11A,103,2.49872,22,-0.7691,34,-0.0276,13,-2.1087
ENSG00000215790,SLC35E2A,11,-1.4111,27,0.02417,15,-0.8884,36,0.92336
ENSG00000008130,NADK,19,-0.4146,23,-0.0913,23,-0.0991,27,0.33638
ENSG00000078369,GNB1,153,-1.7964,454,-0.0175,449,-0.0335,584,0.81049
ENSG00000187730,GABRD,8,-3.9839,94,-0.3553,198,0.90711,149,0.88383
ENSG00000067606,PRKCZ,75,-1.5619,155,-0.3893,356,1.01654,224,0.45458
ENSG00000162585,FAAP20,40,-0.2565,61,0.49707,38,-0.3209,45,-0.0897
ENSG00000157933,SKI,30,0.42669,29,0.37737,36,0.68453,16,-0.8815
ENSG00000157916,RER1,49,-0.6318,99,0.64602,51,-0.5036,71,0.04152
ENSG00000157911,PEX10,26,-0.4245,54,0.93221,32,-0.0744,28,-0.4387
ENSG00000157870,PRXL2B,7,-2.9870,44,-0.0822,59,0.40486,60,0.89405
ENSG00000177133,PRDM16-DT,3,-2.8793,24,0.38850,17,-0.1770,24,0.77455
ENSG00000158109,TPRG1L,26,-2.9736,129,-0.5051,233,0.48975,237,1.11690
ENSG00000130764,LRRC47,25,-1.7989,88,0.26949,87,0.21602,89,0.50779
ENSG00000116198,CEP104,113,2.28514,20,-1.1915,37,-0.1384,21,-1.5059
ENSG00000196581,AJAP1,30,-0.2529,23,-0.7525,62,0.95019,37,0.11915
ENSG00000069424,KCNAB2,13,-4.0412,134,-0.5131,199,0.16406,261,1.40049
ENSG00000116254,CHD5,16,-3.4425,106,-0.6067,430,1.84127,166,0.29962
ENSG00000116251,RPL22,1080,0.71575,984,0.52980,268,-1.5656,605,-0.5398
ENSG00000116237,ICMT,15,-1.2480,28,-0.1839,32,0.04868,39,0.71432
ENSG00000097021,ACOT7,59,-2.2570,227,-0.0952,218,-0.1501,321,1.01931
ENSG00000215788,TNFRSF25,1,-4.1814,17,-0.0775,27,0.66112,23,0.86414
ENSG00000171680,PLEKHG5,1,-4.5795,16,-0.6180,22,-0.0271,34,1.59466
ENSG00000162408,NOL9,14,-0.7679,18,-0.3871,34,0.67961,25,0.35035
ENSG00000162413,KLHL21,20,-0.4508,26,-0.0112,39,0.62494,27,0.00196
