Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,9,-1.1811,13,-0.7050,26,0.36317,30,0.60075,39,1.03727,12,-0.7752,14,-0.6464,22,0.09244,27,0.42663
ENSG00000188976,NOC2L,38,0.10430,25,-0.5615,69,1.10617,50,0.53029,67,1.03613,9,-2.0556,8,-2.4090,34,-0.0882,51,0.56056
ENSG00000188290,HES4,16,-1.7165,76,0.63781,82,0.77528,16,-1.7476,31,-0.8006,101,1.13387,41,-0.3883,61,0.27732,48,-0.1152
ENSG00000187608,ISG15,24,-0.9108,81,1.04282,49,0.19638,14,-1.6708,43,-0.0241,35,-0.3238,34,-0.4387,74,0.88433,46,0.08338
ENSG00000188157,AGRN,44,1.38622,25,0.45447,34,0.96970,14,-0.4389,34,0.93482,2,-3.2131,8,-1.4279,9,-1.0634,12,-0.6577
ENSG00000078808,SDF4,55,0.44427,55,0.44830,76,0.99345,39,-0.1346,50,0.28818,14,-1.6209,25,-0.8584,26,-0.7417,53,0.37781
ENSG00000176022,B3GALT6,12,-0.6885,17,-0.1280,41,1.29585,32,0.89336,35,1.03576,1,-4.2514,10,-0.9995,8,-1.2527,21,0.16502
ENSG00000160087,UBE2J2,32,0.06760,30,0.00624,53,0.91934,51,0.84494,41,0.48424,19,-0.7300,10,-1.7818,18,-0.7815,39,0.42104
ENSG00000131584,ACAP3,102,0.99231,48,-0.2469,137,1.52055,53,-0.0846,152,1.72656,2,-4.8334,14,-2.2423,15,-1.9751,26,-1.1915
ENSG00000127054,INTS11,59,0.84056,21,-0.8046,62,0.92574,53,0.64537,54,0.67978,23,-0.6587,10,-1.9427,28,-0.3906,34,-0.0677
ENSG00000224051,CPTP,12,-0.0605,9,-0.4628,35,1.77561,18,0.63369,16,0.44912,0,-3.8537,7,-0.8721,7,-0.8793,11,-0.1675
ENSG00000107404,DVL1,36,-0.0996,71,1.03381,84,1.31335,25,-0.6340,33,-0.2552,47,0.34227,28,-0.5616,17,-1.2695,15,-1.4154
ENSG00000175756,AURKAIP1,132,-0.9956,235,-0.0974,316,0.38144,224,-0.1711,196,-0.3832,341,0.50595,251,0.01102,267,0.11014,284,0.20862
ENSG00000221978,CCNL2,80,0.72972,46,-0.1540,53,0.04898,53,0.05564,78,0.69437,95,1.03590,14,-2.0495,26,-1.0443,52,0.01556
ENSG00000242485,MRPL20,151,-0.6910,247,0.08245,197,-0.2800,125,-0.9766,155,-0.6440,201,-0.2442,358,0.81529,251,0.10606,302,0.40942
ENSG00000235098,ANKRD65,48,1.70497,27,0.69334,24,0.49806,26,0.64077,8,-1.1303,1,-3.8378,16,-0.1790,2,-2.9306,8,-1.1647
ENSG00000179403,VWA1,186,3.95231,25,-0.2368,23,-0.3843,24,-0.3171,3,-3.2458,1,-4.3386,9,-1.9212,5,-2.4464,6,-2.2897
ENSG00000205090,TMEM240,8,-1.4783,10,-1.1777,49,1.41388,13,-0.7173,30,0.56394,35,0.82398,18,-0.3254,17,-0.3159,15,-0.5756
ENSG00000160075,SSU72,62,-1.4314,155,-0.0200,242,0.70993,142,-0.1623,149,-0.0874,156,-0.0085,164,0.07412,145,-0.1336,194,0.33749
ENSG00000228594,FNDC10,4,-2.4950,27,0.47436,47,1.42272,17,-0.3111,47,1.39977,19,-0.1412,8,-1.5793,13,-0.6782,15,-0.4571
ENSG00000272106,AL691432.2,19,0.25295,14,-0.2807,16,0.00730,15,-0.1448,15,-0.1452,16,-0.0376,11,-0.6327,23,0.51669,23,0.58099
ENSG00000197530,MIB2,13,-1.0871,27,0.05399,65,1.52833,43,0.78667,33,0.36518,19,-0.5330,22,-0.3325,4,-2.8053,17,-0.6642
ENSG00000248333,CDK11B,55,0.33757,25,-0.9071,42,-0.1149,16,-1.5219,63,0.54140,78,0.91745,44,-0.0483,47,0.06642,35,-0.3719
ENSG00000008128,CDK11A,42,1.09727,24,0.14109,22,0.01897,14,-0.6204,37,0.89023,0,-4.6402,13,-0.8475,25,0.23243,25,0.26152
ENSG00000215790,SLC35E2A,11,-0.5365,20,0.36130,27,0.87090,13,-0.2944,27,0.85117,0,-4.2104,16,0.00600,12,-0.4241,16,0.03031
ENSG00000008130,NADK,24,0.45497,18,-0.0075,37,1.16667,32,0.89024,19,0.04533,2,-3.0235,13,-0.5812,11,-0.7558,14,-0.4210
ENSG00000078369,GNB1,221,-0.9328,509,0.38025,731,0.99612,485,0.30301,387,-0.0629,347,-0.2373,353,-0.2336,289,-0.5216,351,-0.2175
ENSG00000187730,GABRD,3,-4.5198,43,-0.7675,140,1.16726,57,-0.3079,167,1.49352,39,-0.8925,42,-0.8737,52,-0.4562,113,0.79994
ENSG00000067606,PRKCZ,107,-0.9053,168,-0.2051,370,1.11317,205,0.11392,290,0.68631,204,0.10949,131,-0.6546,130,-0.6032,174,-0.1493
ENSG00000162585,FAAP20,41,-0.1314,68,0.68841,58,0.40458,56,0.34191,28,-0.7096,53,0.25277,41,-0.1414,29,-0.6946,33,-0.4580
ENSG00000157933,SKI,29,1.27268,22,0.78477,30,1.31541,8,-0.6947,20,0.61582,0,-3.9703,9,-0.6203,5,-1.3012,1,-3.2838
ENSG00000157916,RER1,83,0.59174,43,-0.4483,41,-0.5468,72,0.35264,52,-0.1837,40,-0.5789,44,-0.4751,69,0.28270,91,0.73965
ENSG00000157911,PEX10,31,0.38077,36,0.62017,34,0.56051,44,0.98143,33,0.47327,5,-2.2608,13,-0.9942,11,-1.2334,23,-0.0969
ENSG00000197921,HES5,0,-7.5986,106,2.30200,85,1.82864,10,-1.6342,9,-1.8102,4,-2.9056,23,-0.4374,29,-0.0234,8,-1.9371
ENSG00000157870,PRXL2B,16,-1.5382,53,0.31869,87,1.16487,34,-0.3787,48,0.17925,25,-0.8288,40,-0.1309,43,-0.0085,46,0.11355
ENSG00000177133,PRDM16-DT,3,-2.7501,71,2.26908,61,1.94960,16,-0.3535,12,-0.7916,7,-1.6559,12,-0.8807,5,-2.0068,2,-2.9835
ENSG00000158109,TPRG1L,25,-2.7628,116,-0.4695,266,0.87339,201,0.40434,247,0.74459,156,-0.0096,125,-0.3981,131,-0.2859,177,0.19674
ENSG00000130764,LRRC47,57,0.13648,26,-1.0788,82,0.73103,92,0.91421,79,0.65310,20,-1.4779,32,-0.8257,34,-0.6750,72,0.50942
ENSG00000116198,CEP104,63,1.74316,20,-0.1774,20,-0.2074,17,-0.4242,44,1.08617,5,-2.2694,12,-1.0691,17,-0.4235,18,-0.3773
ENSG00000196581,AJAP1,27,0.02501,12,-1.2397,33,0.36416,33,0.34088,57,1.28670,2,-3.4374,19,-0.5931,36,0.50487,27,0.05111
ENSG00000069424,KCNAB2,10,-3.7819,168,0.38589,360,1.74054,139,0.07148,156,0.26240,60,-1.2265,104,-0.4245,98,-0.4754,127,-0.0661
ENSG00000116254,CHD5,14,-3.5749,171,0.17655,243,0.75821,105,-0.5926,454,1.91719,165,0.11723,103,-0.6836,102,-0.6415,73,-1.1386
ENSG00000116251,RPL22,901,0.42497,793,0.21402,332,-1.1441,436,-0.7295,403,-0.8496,618,-0.1844,1141,0.96851,665,-0.0681,513,-0.4780
ENSG00000116237,ICMT,31,0.25920,24,-0.1201,34,0.39622,42,0.76744,32,0.31400,19,-0.4704,16,-0.8445,19,-0.4675,29,0.16917
ENSG00000097021,ACOT7,53,-2.0557,60,-1.8522,184,-0.1598,236,0.23435,291,0.58565,164,-0.3384,118,-0.9268,294,0.60266,518,1.61388
ENSG00000171680,PLEKHG5,0,-8.3798,14,-0.0144,29,1.25883,8,-0.7478,29,1.24371,0,-3.9999,10,-0.5631,9,-0.5968,28,1.17085
ENSG00000162408,NOL9,21,-0.0997,23,0.03496,44,1.08289,30,0.45805,27,0.30640,27,0.29006,12,-1.0104,14,-0.7768,16,-0.5796
